BUILDING ADDRESS,BOROUGH,BUILDING IDENTIFICATION NUMBER,CONTROL NUMBER,EXTERIOR WALL TYPE,EXTERIOR WALL MATERIAL
37 RIVERSIDE DRIVE,Manhattan,1031038,903681,MASONRY LOAD-BEARING WALL,"MASONRY, TERRA COTTA, LIMESTONE"
345 WEST 70 STREET,Manhattan,1030926,903656,MASONRY LOAD-BEARING WALL,"CAST STONE, STEEL FRAME, MASONRY, SHEET METAL, TERRA COTTA"
332 WEST END AVENUE,Manhattan,1030848,903632,MASONRY LOAD-BEARING WALL,"MASONRY, TERRA COTTA"
322 WEST 72 STREET,Manhattan,1030969,903664,OTHER,BRICK MASONRY & TERRA COTTA
291 CENTRAL PARK WEST,Manhattan,1031567,903744,MASONRY LOAD-BEARING WALL,"TERRA COTTA, Brick Masonry & Limestone"
257 CENTRAL PARK WEST,Manhattan,1031371,903721,OTHER,"MASONRY, TERRA COTTA, Limestone"
225 WEST 83 STREET,Manhattan,1084303,903885,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
320 CENTRAL PARK WEST,Manhattan,1031626,903751,MASONRY LOAD-BEARING WALL,"MASONRY, LIMESTONE"
221 WEST 82 STREET,Manhattan,1076247,903879,OTHER,"MASONRY, TERRA COTTA,Limestone"
257 CENTRAL PARK WEST,Manhattan,1031371,903721,OTHER,"MASONRY BONDED WALL, Limestone"
2373 BROADWAY,Manhattan,1076251,903901,OTHER,MASONRY
270 WEST 89 STREET,Manhattan,1033304,903917,OTHER,MASONRY
500 WEST END AVENUE,Manhattan,1033103,903898,MASONRY CAVITY WALL,OTHER
2441 BROADWAY,Manhattan,1033555,903929,MASONRY LOAD-BEARING WALL,MASONRY
15 WEST 51 STREET,Manhattan,1034512,904172,STEEL FRAME,OTHER
65 WEST 55 STREET,Manhattan,1034818,904196,MASONRY CAVITY WALL,MASONRY
36 CENTRAL PARK SOUTH,Manhattan,1035251,904220,OTHER,MASONRY
48 WEST 57 STREET,Manhattan,1035058,904237,OTHER,MASONRY
48 WEST 57 STREET,Manhattan,1035058,904237,MASONRY LOAD-BEARING WALL,"CONCRETE, MASONRY, TERRA COTTA"
20 WEST 44 STREET,Manhattan,1034214,904088,MASONRY LOAD-BEARING WALL,"CAST IRON, MASONRY, TERRA COTTA"
400 MADISON AVENUE,Manhattan,1035420,904322,OTHER,"MASONRY,STEEL FRAME,NATURAL STONE,STUCCO/EIFS,TERRA COTTA"
50 EAST 42 STREET,Manhattan,1035336,904265,MASONRY LOAD-BEARING WALL,"CAST IRON,MASONRY,NATURAL STONE"
18 EAST 41 STREET,Manhattan,1035324,904256,MASONRY LOAD-BEARING WALL,"MASONRY,TERRA COTTA"
768 FIFTH AVENUE,Manhattan,1035253,904239,MASONRY LOAD-BEARING WALL,"MASONRY,NATURAL STONE,TERRA COTTA"
501 FIFTH AVENUE,Manhattan,1035342,904270,MASONRY LOAD-BEARING WALL,"MASONRY,NATURAL STONE"
111 EAST 58 STREET,Manhattan,1037165,904547,OTHER,"GLASS, MASONRY, METAL"
465 PARK AVENUE,Manhattan,1036903,904543,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
515 MADISON AVENUE,Manhattan,1035728,904377,MASONRY LOAD-BEARING WALL,"CAST IRON, MASONRY, NATURAL STONE, TERRA COTTA"
354 LEXINGTON AVENUE,Manhattan,1036145,904433,MASONRY CAVITY WALL,"GLASS, MASONRY"
485 MADISON AVENUE,Manhattan,1035474,904354,MASONRY LOAD-BEARING WALL,"TERRA COTTA, STEEL FRAME, OTHER"
805 THIRD AVENUE,Manhattan,1038243,TR6-904646-9A-I1,CURTAIN WALL,GLASS
312 EAST 42 STREET,Manhattan,1038656,TR6-904548-9C-I1,OTHER,MASONRY
133 EAST 58 STREET,Manhattan,1037166,TR6-904599-9C-I1,OTHER,TERRA COTTA
245 EAST 54 STREET,Manhattan,1038575,TR6-904617-9B-I1,MASONRY CAVITY WALL,OTHER
133 EAST 58 STREET,Manhattan,1037166,TR6-904630-9C-I1,OTHER,CONCRETE
210 EAST 58 STREET,Manhattan,1038613,TR6-904630-9C-I1,OTHER,CONCRETE
300 EAST 51 STREET,Manhattan,1039628,904696-9C-I1,OTHER,"MASONRY, Cavity"
333 EAST 43 STREET,Manhattan,1038666,904652-9A-I1,OTHER,"Masonry, Mass Wall"
310 EAST 49 STREET,Manhattan,1038930,904701-9A-I1,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
327 EAST 48 STREET,Manhattan,1039205,904687-9C-I1,CURTAIN WALL,"GLASS, MASONRY CAVITY WALL, MASONRY"
335 EAST 51 STREET,Manhattan,1039682,904684-9C-I1,MASONRY CAVITY WALL,MASONRY
300 EAST 56 STREET,Manhattan,1039975,904720,MASONRY CAVITY WALL,MASONRY
333 EAST 56 STREET,Manhattan,1039984,904722,MASONRY CAVITY WALL,"CONCRETE,MASONRY"
345 EAST 57 STREET,Manhattan,1040003,904733,MASONRY LOAD-BEARING WALL,"MASONRY,TERRA COTTA"
966 FIRST AVENUE,Manhattan,1040162,904769,MASONRY CAVITY WALL,"MASONRY,NATURAL STONE"
1084 SECOND AVENUE,Manhattan,1039997,904730,MASONRY CAVITY WALL,"MASONRY,NATURAL STONE"
345 EAST 56 STREET,Manhattan,1040003,904730,MASONRY CAVITY WALL,MASONRY
733 PARK AVENUE,Manhattan,1042760,905067,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
942 FIFTH AVENUE,Manhattan,1041683,904957,OTHER,"MASONRY, TERRA COTTA, OTHER(Steel framed structure clad in masonry), OTHER(Limestone)"
993 LEXINGTON AVENUE,Manhattan,1042824,905074,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
166 EAST 63 STREET,Manhattan,1042051,905021,MASONRY CAVITY WALL,MASONRY
850 MADISON AVENUE,Manhattan,1041297,904907,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
993 LEXINGTON AVENUE,Manhattan,1042824,905074,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
181 EAST 73 STREET,Manhattan,1043046,905090,OTHER,MASONRY
233 EAST 70 STREET,Manhattan,1072227,905186,OTHER,MASONRY
252 EAST 61 STREET,Manhattan,1078348,905147,STEEL FRAME,METAL
1125 LEXINGTON AVENUE,Manhattan,1043239,905136,MASONRY LOAD-BEARING WALL,MASONRY
359 EAST 62 STREET,Manhattan,1044369,905232,OTHER,MASONRY
1445 2 AVENUE,Manhattan,1044853,905265,CONCRETE FRAME,CONCRETE
1461 FIRST AVENUE,Manhattan,1045174,905292,MASONRY CAVITY WALL,CONCRETE
350 EAST 79 STREET,Manhattan,1045256,905298,CONCRETE FRAME,CAST STONE
349 EAST 72 STREET,Manhattan,1044882,905276,CONCRETE FRAME,CONCRETE
1328 2 AVENUE,Manhattan,1044853,905265,CONCRETE FRAME,CONCRETE
1445 FIRST AVENUE,Manhattan,1045148,905288,MASONRY CAVITY WALL,CONCRETE
401 EAST 77 STREET,Manhattan,1045978,905356,MASONRY CAVITY WALL,MASONRY
404 EAST 66 STREET,Manhattan,1083271,905319,MASONRY CAVITY WALL,MASONRY
404 EAST 66 STREET,Manhattan,1072689,905363,MASONRY CAVITY WALL,MASONRY
1478 FIRST AVENUE,Manhattan,1045974,905357,MASONRY CAVITY WALL,MASONRY
444 EAST 66 STREET,Manhattan,1046026,905361,MASONRY CAVITY WALL,CAST STONE
1094 MADISON AVENUE,Manhattan,1046749,905438,OTHER,CAST STONE
1060 PARK AVENUE,Manhattan,1046918,905487,OTHER,MASONRY
1088 PARK AVENUE,Manhattan,1046956,905499,MASONRY LOAD-BEARING WALL,MASONRY
530 EAST 76 STREET,Manhattan,1072696,905406,CONCRETE FRAME,GLASS
920 PARK AVENUE,Manhattan,1046627,905424,MASONRY CAVITY WALL,MASONRY
1107 FIFTH AVENUE,Manhattan,1047045,905521,OTHER,MASONRY
1148 FIFTH AVENUE,Manhattan,1047439,905551,OTHER,MASONRY
1227 MADISON AVENUE,Manhattan,1046958,905501,OTHER,MASONRY
60 EAST 96 STREET,Manhattan,1047434,905547,OTHER,MASONRY
1148 FIFTH AVENUE,Manhattan,1047439,905560,MASONRY CAVITY WALL,CONCRETE
145 EAST 81 STREET,Manhattan,1047561,905576,MASONRY CAVITY WALL,MASONRY
111 EAST 85 STREET,Manhattan,1047928,905615,CONCRETE FRAME,CONCRETE
128 EAST 85 STREET,Manhattan,1047693,905609,MASONRY LOAD-BEARING WALL,MASONRY
162 EAST 80 STREET,Manhattan,1047485,905561,MASONRY CAVITY WALL,MASONRY
146 EAST 85 STREET,Manhattan,1047689,905608,MASONRY CAVITY WALL,MASONRY
228 EAST 85 STREET,Manhattan,1048745,905734,MASONRY CAVITY WALL,MASONRY
200 EAST 82 STREET,Manhattan,1048579,905724,MASONRY CAVITY WALL,"GLASS,MASONRY,OTHER"
169 EAST 91 STREET,Manhattan,1048306,905668,MASONRY CAVITY WALL,"CONCRETE,MASONRY"
245 EAST 84 STREET,Manhattan,1073220,905733,MASONRY CAVITY WALL,MASONRY
1111 PARK AVENUE,Manhattan,1048136,905653,MASONRY LOAD-BEARING WALL,"MASONRY,TERRA COTTA"
1533 FIRST AVENUE,Manhattan,1076841,905776,OTHER,OTHER
225 EAST 85 STREET,Manhattan,1048779,905738,MASONRY CAVITY WALL,CONCRETE
1659 SECOND AVENUE,Manhattan,1048799,905744,MASONRY CAVITY WALL,CONCRETE
241 EAST 86 STREET,Manhattan,1076327,905743,MASONRY CAVITY WALL,MASONRY
300 EAST 85 STREET,Manhattan,1078565,905785,MASONRY CAVITY WALL,CONCRETE
305 East 86th Street,Manhattan,1050025,905790,MASONRY CAVITY WALL,OTHER
315 East 85th Street,Manhattan,1049992,905786,MASONRY CAVITY WALL,MASONRY
1743 First Avenue,Manhattan,1050185,905801,MASONRY CAVITY WALL,MASONRY LOAD-BEARING WALL
317 East 85th Street,Manhattan,1049993,905787,MASONRY CAVITY WALL,MASONRY
312 East 92nd Street,Manhattan,1085239,905802,OTHER,OTHER
305 East 86th Street,Manhattan,1050025,905790,MASONRY CAVITY WALL,OTHER
2 EAST END AVENUE,Manhattan,1050767,905869,OTHER,MASONRY
434 EAST 84 STREET,Manhattan,1050471,905829,OTHER,MASONRY
440 EAST 88 STREET,Manhattan,1050596,905842,MASONRY LOAD-BEARING WALL,MASONRY
423 EAST 90 STREET,Manhattan,1050731,905852,MASONRY CAVITY WALL,MASONRY
1514 YORK AVENUE,Manhattan,1050869,905865,OTHER,MASONRY
52 EAST END AVENUE,Manhattan,1074035,TR6-905878-9B-I1,MASONRY CAVITY WALL,MASONRY
1596 YORK AVENUE,Manhattan,1051230,TR6-905885-9C-I1,MASONRY CAVITY WALL,MASONRY
516 EAST 86 STREET,Manhattan,1051250,TR6-905892-9C-I1,MASONRY CAVITY WALL,MASONRY
